threadid,tweetid,event,support,evidentiality,certainty,responsetype-vs-source,responsetype-vs-previous
577258317942149120,577258317942149120,putinmissing,supporting,url-given,somewhat-certain,,
576755174531862529,576755174531862529,putinmissing,supporting,url-given,somewhat-certain,,
576319832800555008,576319832800555008,putinmissing,supporting,url-given,somewhat-certain,,
576513463738109954,576513463738109954,putinmissing,denying,url-given,certain,,
552783667052167168,552783667052167168,charliehebdo,supporting,url-given,certain,,
552793679082311680,552793679082311680,charliehebdo,supporting,url-given,certain,,
553548567420628992,553548567420628992,charliehebdo,supporting,source-quoted,somewhat-certain,,
552832817089236992,552832817089236992,charliehebdo,supporting,url-given,certain,,
552833028201144320,552833028201144320,charliehebdo,supporting,url-given,certain,,
553184482241814530,553184482241814530,charliehebdo,denying,witnessed,somewhat-certain,,
553534838880608256,553534838880608256,charliehebdo,supporting,witnessed,certain,,
553512735192141826,553512735192141826,charliehebdo,supporting,source-quoted,certain,,
552834961762709505,552834961762709505,charliehebdo,supporting,url-given,certain,,
553197863971610624,553197863971610624,charliehebdo,supporting,url-given,certain,,
552792802309181440,552792802309181440,charliehebdo,supporting,url-given,certain,,
553586860334010368,553586860334010368,charliehebdo,supporting,no-evidence,certain,,
553486439129038848,553486439129038848,charliehebdo,supporting,source-quoted,certain,,
552848620375261184,552848620375261184,charliehebdo,supporting,url-given,somewhat-certain,,
553588178687655936,553588178687655936,charliehebdo,supporting,url-given,certain,,
553518472798683136,553518472798683136,charliehebdo,supporting,url-given,certain,,
553503184174710784,553503184174710784,charliehebdo,supporting,url-given,certain,,
552805488631758849,552805488631758849,charliehebdo,supporting,url-given,certain,,
553506608203169792,553506608203169792,charliehebdo,supporting,url-given,certain,,
553221600955621376,553221600955621376,charliehebdo,supporting,url-given,certain,,
553549686129561600,553549686129561600,charliehebdo,supporting,url-given,certain,,
552792913910833152,552792913910833152,charliehebdo,supporting,url-given,certain,,
552996335319007233,552996335319007233,charliehebdo,supporting,url-given,certain,,
552806309540528128,552806309540528128,charliehebdo,supporting,url-given,certain,,
553550301886955520,553550301886955520,charliehebdo,supporting,unverifiable-source-quoted,certain,,
529660296080916480,529660296080916480,prince-toronto,supporting,witnessed,certain,,
500295393301647360,500295393301647360,ferguson,supporting,witnessed,certain,,
500278045597368320,500278045597368320,ferguson,supporting,url-given,certain,,
499612545909415938,499612545909415938,ferguson,supporting,no-evidence,certain,,
500279189405433858,500279189405433858,ferguson,supporting,no-evidence,certain,,
