id,event,text,favorite_count,retweet_count,created_at,followers_count,friends_count,account_creation,verified
553476490315431937,charliehebdo,Police convoy and helicopters are rushing to scene to detain Charlie Hebdo massacre suspects http://t.co/XdUgohNDhv http://t.co/MSROYqs14o,32,109,Fri Jan 09 09:00:53 +0000 2015,820353,2355,Tue Jul 15 10:17:46 +0000 2008,True
552802654641225728,charliehebdo,Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/6jRqXgPogM http://t.co/hO7lvftma5,22,120,Wed Jan 07 12:23:18 +0000 2015,53449,54,Thu Apr 24 16:23:55 +0000 2014,False
553164985460068352,charliehebdo,The #CharlieHebdo attack suspects have reportedly fired shots while robbing a petrol station http://t.co/joSfDCybpI http://t.co/7xQIrb4vbU,38,186,Thu Jan 08 12:23:04 +0000 2015,1786968,17,Thu Jul 19 14:42:53 +0000 2007,True
553587672137334785,charliehebdo,AFP: suspected #CharlieHebdo gunmen have been killed,572,1499,Fri Jan 09 16:22:40 +0000 2015,1380388,6,Wed Nov 04 11:25:45 +0000 2009,True
553587303172833280,charliehebdo,Police taking people out of #Paris grocery where hostages were being held. http://t.co/7Bxdhozq4H,318,676,Fri Jan 09 16:21:12 +0000 2015,22720010,113,Tue Jan 02 01:48:14 +0000 2007,True
553586860334010368,charliehebdo,#CharlieHebdo killers shot dead by police,131,275,Fri Jan 09 16:19:27 +0000 2015,70731,366,Mon Mar 25 14:48:58 +0000 2013,True
552811386259386370,charliehebdo,At least 12 dead in the Paris shooting. Updated story and background info: http://t.co/QlPpQ2ss8j #CharlieHebdo http://t.co/DwMlafsD6K,65,338,Wed Jan 07 12:57:59 +0000 2015,5571268,974,Sun Apr 01 06:22:13 +0000 2007,True
553160652567498752,charliehebdo,French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack: http://t.co/0WbSnKIrgE http://t.co/wjmMg9LveB,38,121,Thu Jan 08 12:05:51 +0000 2015,3847705,860,Sat Apr 04 12:40:32 +0000 2009,True
553197863971610624,charliehebdo,The last person killed in Charlie Hebdo attacks was Muslim police officer http://t.co/qQXNLUDYPG http://t.co/PJH6tlyrpC,38,182,Thu Jan 08 14:33:43 +0000 2015,972944,1763,Sun Oct 26 00:00:29 +0000 2008,True
553544252563935234,charliehebdo,BREAKING: At least 2 killed in #Paris hostage situation via @AFP http://t.co/C2WrcWLUZh,43,151,Fri Jan 09 13:30:08 +0000 2015,4734519,381,Sat Mar 17 19:01:26 +0000 2007,True
552821069036670976,charliehebdo,"4 #CharlieHebdo cartoonists killed:

- Charb
- Cabu
- Tignous
- Georges Wolinski

#JeSuisCharlie http://t.co/QbaEYog2S2",192,912,Wed Jan 07 13:36:28 +0000 2015,115106,1498,Thu Mar 24 13:20:16 +0000 2011,True
552832817089236992,charliehebdo,Stills from eyewitness video show two #CharlieHebdo attackers wearing hoods & black clothing shoot a wounded man http://t.co/IX8Wys3p5M,33,101,Wed Jan 07 14:23:09 +0000 2015,13329,101,Mon Sep 12 22:03:14 +0000 2011,True
